Customer Name,User Name,User Id,Password,Confirm Password,Department,Designation,Role
New Uploaded Customer,parek.bha@c.m,emp262,12345678,12345678,Admin,Admin,Admin
New Uploaded Customer,parek.bha@c,emp262,12345678,123456,,,Admin
njsdnfjkn,parek.ba@c,emp262,,123456,,,User
ankurCompany,parek.b@c,emp262,12345678,12345678,,,kdjhnfjkn
,parek.@c,emp262,12345678,12345678,,,User
ankurCompany,parek.b@cm,emp262,12345678,12345678,IT,Developer,User
ankurCompany,parek.b@cm.c,emp262,12345678,12345678,IT,Developer,User
ankurCompany,parek.b@cm.c,emp262,12345678,12345678,IT,Developer,User
ankurCompany,parek.b@cm.co,vdsfhjfhsdfhsdhfusdhfuisdhfiuhsdifuhsdiufhisudhfiushdfuihsdiufhsdiuhfiusdhfuishduifhsduihfsudihfuihsdffdhdfjddshfusdhfushdfuhsduifhuisdhuif,12345678,12345678,IT,Developer,User
PrakashCompanyNew,pare.b@cm.co,bnsd,12345678,12345678,IT,Developer,User
ankurCompany,parek.b@cmm,emp262New,12345678,12345678,IT,Developer,User
ankurCompany,parek.b@cm.cmm,emp262New2,12345678,12345678,IT,Developer,User
